AssessmentID,StudentID,SubjectID,TestName,MaxMarks,MarksObtained
T2001,S1001,CIVIL104,Internal 1,100,45
T2002,S1001,CIVIL101,Internal 2,100,42
T2003,S1001,CIVIL101,Model Exam,100,41
T2004,S1001,CIVIL103,Final Internal,100,38
T2005,S1002,CSE105,Internal 1,100,44
T2006,S1002,CSE104,Internal 2,100,42
T2007,S1002,CSE102,Model Exam,100,39
T2008,S1002,CSE105,Final Internal,100,37
T2009,S1003,ECE104,Internal 1,100,83
T2010,S1003,ECE102,Internal 2,100,83
T2011,S1003,ECE105,Model Exam,100,83
T2012,S1003,ECE101,Final Internal,100,83
T2013,S1004,EEE102,Internal 1,100,92
T2014,S1004,EEE102,Internal 2,100,92
T2015,S1004,EEE102,Model Exam,100,92
T2016,S1004,EEE103,Final Internal,100,92
T2017,S1005,EEE101,Internal 1,100,81
T2018,S1005,EEE101,Internal 2,100,81
T2019,S1005,EEE101,Model Exam,100,81
T2020,S1005,EEE101,Final Internal,100,81
T2021,S1006,CIVIL103,Internal 1,100,79
T2022,S1006,CIVIL104,Internal 2,100,79
T2023,S1006,CIVIL105,Model Exam,100,79
T2024,S1006,CIVIL101,Final Internal,100,79
T2025,S1007,CIVIL105,Internal 1,100,87
T2026,S1007,CIVIL102,Internal 2,100,87
T2027,S1007,CIVIL101,Model Exam,100,87
T2028,S1007,CIVIL103,Final Internal,100,87
T2029,S1008,CIVIL101,Internal 1,100,70
T2030,S1008,CIVIL103,Internal 2,100,70
T2031,S1008,CIVIL105,Model Exam,100,70
T2032,S1008,CIVIL103,Final Internal,100,70
T2033,S1009,MECH105,Internal 1,100,42
T2034,S1009,MECH102,Internal 2,100,41
T2035,S1009,MECH102,Model Exam,100,39
T2036,S1009,MECH105,Final Internal,100,36
T2037,S1010,EEE105,Internal 1,100,97
T2038,S1010,EEE102,Internal 2,100,97
T2039,S1010,EEE101,Model Exam,100,97
T2040,S1010,EEE104,Final Internal,100,97
T2041,S1011,CIVIL104,Internal 1,100,71
T2042,S1011,CIVIL102,Internal 2,100,71
T2043,S1011,CIVIL104,Model Exam,100,71
T2044,S1011,CIVIL103,Final Internal,100,71
