AttendanceID,StudentID,Date,Status
A10001,S1001,15-07-2025,Present
A10002,S1001,16-07-2025,Present
A10003,S1001,17-07-2025,Absent
A10004,S1001,18-07-2025,Present
A10005,S1001,19-07-2025,Present
A10006,S1001,20-07-2025,Present
A10007,S1001,21-07-2025,Present
A10008,S1001,22-07-2025,Present
A10009,S1001,23-07-2025,Present
A10010,S1001,24-07-2025,Absent
A10011,S1001,25-07-2025,Present
A10012,S1001,26-07-2025,Absent
A10013,S1001,27-07-2025,Present
A10014,S1001,28-07-2025,Absent
A10015,S1001,29-07-2025,Present
A10016,S1001,30-07-2025,Present
A10017,S1001,31-07-2025,Absent
A10018,S1001,01-08-2025,Present
A10019,S1001,02-08-2025,Absent
A10020,S1001,03-08-2025,Present
A10021,S1001,04-08-2025,Absent
A10022,S1001,05-08-2025,Absent
A10023,S1001,06-08-2025,Absent
A10024,S1001,07-08-2025,Present
A10025,S1001,08-08-2025,Absent
A10026,S1001,09-08-2025,Present
A10027,S1001,10-08-2025,Absent
A10028,S1001,11-08-2025,Absent
A10029,S1001,12-08-2025,Absent
A10030,S1001,13-08-2025,Present
A10031,S1001,14-08-2025,Absent
A10032,S1001,15-08-2025,Present
A10033,S1001,16-08-2025,Absent
A10034,S1001,17-08-2025,Absent
A10035,S1001,18-08-2025,Present
A10036,S1001,19-08-2025,Absent
A10037,S1001,20-08-2025,Absent
A10038,S1001,21-08-2025,Present
A10039,S1001,22-08-2025,Present
A10040,S1001,23-08-2025,Present
A10041,S1001,24-08-2025,Present
A10042,S1001,25-08-2025,Present
A10043,S1001,26-08-2025,Absent
A10044,S1001,27-08-2025,Present
A10045,S1001,28-08-2025,Present
A10046,S1001,29-08-2025,Present
A10047,S1001,30-08-2025,Absent
A10048,S1001,31-08-2025,Absent
A10049,S1001,01-09-2025,Absent
A10050,S1001,02-09-2025,Present
A10051,S1002,15-07-2025,Present
A10052,S1002,16-07-2025,Present
A10053,S1002,17-07-2025,Present
A10054,S1002,18-07-2025,Present
A10055,S1002,19-07-2025,Present
A10056,S1002,20-07-2025,Absent
A10057,S1002,21-07-2025,Present
A10058,S1002,22-07-2025,Absent
A10059,S1002,23-07-2025,Present
A10060,S1002,24-07-2025,Absent
A10061,S1002,25-07-2025,Present
A10062,S1002,26-07-2025,Present
A10063,S1002,27-07-2025,Present
A10064,S1002,28-07-2025,Present
A10065,S1002,29-07-2025,Present
A10066,S1002,30-07-2025,Absent
A10067,S1002,31-07-2025,Present
A10068,S1002,01-08-2025,Present
A10069,S1002,02-08-2025,Absent
A10070,S1002,03-08-2025,Present
A10071,S1002,04-08-2025,Absent
A10072,S1002,05-08-2025,Present
A10073,S1002,06-08-2025,Present
A10074,S1002,07-08-2025,Present
A10075,S1002,08-08-2025,Present
A10076,S1002,09-08-2025,Present
A10077,S1002,10-08-2025,Present
A10078,S1002,11-08-2025,Absent
A10079,S1002,12-08-2025,Present
A10080,S1002,13-08-2025,Absent
A10081,S1002,14-08-2025,Present
A10082,S1002,15-08-2025,Present
A10083,S1002,16-08-2025,Present
A10084,S1002,17-08-2025,Present
