FeeID,StudentID,Installment,DueDate,PaymentDate,Status
F4001,S1001,Sem 3,10-08-2025,,Pending
F4002,S1002,Sem 3,10-08-2025,,Pending
F4003,S1003,Sem 3,10-08-2025,07-08-2025,Paid
F4004,S1004,Sem 3,10-08-2025,06-08-2025,Paid
F4005,S1005,Sem 3,10-08-2025,06-08-2025,Paid
F4006,S1006,Sem 3,10-08-2025,09-08-2025,Paid
F4007,S1007,Sem 3,10-08-2025,06-08-2025,Paid
F4008,S1008,Sem 3,10-08-2025,05-08-2025,Paid
F4009,S1009,Sem 3,10-08-2025,,Pending
F4010,S1010,Sem 3,10-08-2025,06-08-2025,Paid
F4011,S1011,Sem 3,10-08-2025,18-08-2025,Paid
F4012,S1012,Sem 3,10-08-2025,09-08-2025,Paid
F4013,S1013,Sem 3,10-08-2025,05-08-2025,Paid
F4014,S1014,Sem 3,10-08-2025,06-08-2025,Paid
F4015,S1015,Sem 3,10-08-2025,06-08-2025,Paid
F4016,S1016,Sem 3,10-08-2025,,Pending
F4017,S1017,Sem 3,10-08-2025,,Pending
F4018,S1018,Sem 3,10-08-2025,,Pending
F4019,S1019,Sem 3,10-08-2025,,Pending
F4020,S1020,Sem 3,10-08-2025,05-08-2025,Paid
F4021,S1021,Sem 3,10-08-2025,23-08-2025,Paid
F4022,S1022,Sem 3,10-08-2025,,Pending
F4023,S1023,Sem 3,10-08-2025,05-08-2025,Paid
F4024,S1024,Sem 3,10-08-2025,17-08-2025,Paid
F4025,S1025,Sem 3,10-08-2025,,Pending
F4026,S1026,Sem 3,10-08-2025,23-08-2025,Paid
F4027,S1027,Sem 3,10-08-2025,,Pending
F4028,S1028,Sem 3,10-08-2025,,Pending
F4029,S1029,Sem 3,10-08-2025,,Pending
F4030,S1030,Sem 3,10-08-2025,07-08-2025,Paid
F4031,S1031,Sem 3,10-08-2025,07-08-2025,Paid
F4032,S1032,Sem 3,10-08-2025,05-08-2025,Paid
F4033,S1033,Sem 3,10-08-2025,09-08-2025,Paid
F4034,S1034,Sem 3,10-08-2025,09-08-2025,Paid
F4035,S1035,Sem 3,10-08-2025,06-08-2025,Paid
F4036,S1036,Sem 3,10-08-2025,09-08-2025,Paid
F4037,S1037,Sem 3,10-08-2025,,Pending
F4038,S1038,Sem 3,10-08-2025,05-08-2025,Paid
F4039,S1039,Sem 3,10-08-2025,,Pending
F4040,S1040,Sem 3,10-08-2025,07-08-2025,Paid
F4041,S1041,Sem 3,10-08-2025,,Pending
F4042,S1042,Sem 3,10-08-2025,,Pending
F4043,S1043,Sem 3,10-08-2025,,Pending
F4044,S1044,Sem 3,10-08-2025,,Pending
F4045,S1045,Sem 3,10-08-2025,06-08-2025,Paid
F4046,S1046,Sem 3,10-08-2025,08-08-2025,Paid
F4047,S1047,Sem 3,10-08-2025,,Pending
F4048,S1048,Sem 3,10-08-2025,,Pending
F4049,S1049,Sem 3,10-08-2025,09-08-2025,Paid
F4050,S1050,Sem 3,10-08-2025,08-08-2025,Paid
F4051,S1051,Sem 3,10-08-2025,05-08-2025,Paid
F4052,S1052,Sem 3,10-08-2025,06-08-2025,Paid
F4053,S1053,Sem 3,10-08-2025,07-08-2025,Paid
F4054,S1054,Sem 3,10-08-2025,06-08-2025,Paid
F4055,S1055,Sem 3,10-08-2025,09-08-2025,Paid
F4056,S1056,Sem 3,10-08-2025,07-08-2025,Paid
F4057,S1057,Sem 3,10-08-2025,06-08-2025,Paid
F4058,S1058,Sem 3,10-08-2025,,Pending
F4059,S1059,Sem 3,10-08-2025,05-08-2025,Paid
F4060,S1060,Sem 3,10-08-2025,,Pending
F4061,S1061,Sem 3,10-08-2025,13-08-2025,Paid
F4062,S1062,Sem 3,10-08-2025,06-08-2025,Paid
F4063,S1063,Sem 3,10-08-2025,08-08-2025,Paid
F4064,S1064,Sem 3,10-08-2025,05-08-2025,Paid
F4065,S1065,Sem 3,10-08-2025,08-08-2025,Paid
F4066,S1066,Sem 3,10-08-2025,12-08-2025,Paid
F4067,S1067,Sem 3,10-08-2025,08-08-2025,Paid
F4068,S1068,Sem 3,10-08-2025,05-08-2025,Paid
F4069,S1069,Sem 3,10-08-2025,,Pending
F4070,S1070,Sem 3,10-08-2025,19-08-2025,Paid
F4071,S1071,Sem 3,10-08-2025,06-08-2025,Paid
F4072,S1072,Sem 3,10-08-2025,07-08-2025,Paid
F4073,S1073,Sem 3,10-08-2025,19-08-2025,Paid
F4074,S1074,Sem 3,10-08-2025,07-08-2025,Paid
F4075,S1075,Sem 3,10-08-2025,,Pending
F4076,S1076,Sem 3,10-08-2025,08-08-2025,Paid
F4077,S1077,Sem 3,10-08-2025,,Pending
F4078,S1078,Sem 3,10-08-2025,25-08-2025,Paid
F4079,S1079,Sem 3,10-08-2025,07-08-2025,Paid
F4080,S1080,Sem 3,10-08-2025,09-08-2025,Paid
F4081,S1081,Sem 3,10-08-2025,,Pending
F4082,S1082,Sem 3,10-08-2025,07-08-2025,Paid
F4083,S1083,Sem 3,10-08-2025,09-08-2025,Paid
F4084,S1084,Sem 3,10-08-2025,09-08-2025,Paid
F4085,S1085,Sem 3,10-08-2025,09-08-2025,Paid
F4086,S1086,Sem 3,10-08-2025,06-08-2025,Paid
F4087,S1087,Sem 3,10-08-2025,06-08-2025,Paid
F4088,S1088,Sem 3,10-08-2025,06-08-2025,Paid
F4089,S1089,Sem 3,10-08-2025,21-08-2025,Paid
F4090,S1090,Sem 3,10-08-2025,07-08-2025,Paid
F4091,S1091,Sem 3,10-08-2025,09-08-2025,Paid
F4092,S1092,Sem 3,10-08-2025,05-08-2025,Paid
F4093,S1093,Sem 3,10-08-2025,06-08-2025,Paid
F4094,S1094,Sem 3,10-08-2025,06-08-2025,Paid
F4095,S1095,Sem 3,10-08-2025,,Pending
F4096,S1096,Sem 3,10-08-2025,,Pending
F4097,S1097,Sem 3,10-08-2025,05-08-2025,Paid
F4098,S1098,Sem 3,10-08-2025,09-08-2025,Paid
F4099,S1099,Sem 3,10-08-2025,06-08-2025,Paid
F4100,S1100,Sem 3,10-08-2025,,Pending
F4101,S1101,Sem 3,10-08-2025,08-08-2025,Paid
F4102,S1102,Sem 3,10-08-2025,,Pending
F4103,S1103,Sem 3,10-08-2025,11-08-2025,Paid
F4104,S1104,Sem 3,10-08-2025,05-08-2025,Paid
F4105,S1105,Sem 3,10-08-2025,06-08-2025,Paid
F4106,S1106,Sem 3,10-08-2025,20-08-2025,Paid
F4107,S1107,Sem 3,10-08-2025,,Pending
F4108,S1108,Sem 3,10-08-2025,08-08-2025,Paid
F4109,S1109,Sem 3,10-08-2025,20-08-2025,Paid
F4110,S1110,Sem 3,10-08-2025,,Pending
F4111,S1111,Sem 3,10-08-2025,24-08-2025,Paid
F4112,S1112,Sem 3,10-08-2025,08-08-2025,Paid
F4113,S1113,Sem 3,10-08-2025,06-08-2025,Paid
F4114,S1114,Sem 3,10-08-2025,05-08-2025,Paid
F4115,S1115,Sem 3,10-08-2025,08-08-2025,Paid
F4116,S1116,Sem 3,10-08-2025,,Pending
F4117,S1117,Sem 3,10-08-2025,,Pending
F4118,S1118,Sem 3,10-08-2025,,Pending
F4119,S1119,Sem 3,10-08-2025,07-08-2025,Paid
F4120,S1120,Sem 3,10-08-2025,,Pending
F4121,S1121,Sem 3,10-08-2025,07-08-2025,Paid
F4122,S1122,Sem 3,10-08-2025,20-08-2025,Paid
F4123,S1123,Sem 3,10-08-2025,07-08-2025,Paid
F4124,S1124,Sem 3,10-08-2025,05-08-2025,Paid
F4125,S1125,Sem 3,10-08-2025,07-08-2025,Paid
F4126,S1126,Sem 3,10-08-2025,06-08-2025,Paid
F4127,S1127,Sem 3,10-08-2025,05-08-2025,Paid
F4128,S1128,Sem 3,10-08-2025,05-08-2025,Paid
F4129,S1129,Sem 3,10-08-2025,,Pending
F4130,S1130,Sem 3,10-08-2025,08-08-2025,Paid
F4131,S1131,Sem 3,10-08-2025,,Pending
F4132,S1132,Sem 3,10-08-2025,,Pending
F4133,S1133,Sem 3,10-08-2025,09-08-2025,Paid
F4134,S1134,Sem 3,10-08-2025,09-08-2025,Paid
F4135,S1135,Sem 3,10-08-2025,,Pending
F4136,S1136,Sem 3,10-08-2025,13-08-2025,Paid
F4137,S1137,Sem 3,10-08-2025,08-08-2025,Paid
F4138,S1138,Sem 3,10-08-2025,06-08-2025,Paid
F4139,S1139,Sem 3,10-08-2025,09-08-2025,Paid
F4140,S1140,Sem 3,10-08-2025,07-08-2025,Paid
F4141,S1141,Sem 3,10-08-2025,09-08-2025,Paid
F4142,S1142,Sem 3,10-08-2025,06-08-2025,Paid
F4143,S1143,Sem 3,10-08-2025,16-08-2025,Paid
F4144,S1144,Sem 3,10-08-2025,08-08-2025,Paid
F4145,S1145,Sem 3,10-08-2025,,Pending
F4146,S1146,Sem 3,10-08-2025,09-08-2025,Paid
F4147,S1147,Sem 3,10-08-2025,08-08-2025,Paid
F4148,S1148,Sem 3,10-08-2025,,Pending
F4149,S1149,Sem 3,10-08-2025,05-08-2025,Paid
F4150,S1150,Sem 3,10-08-2025,05-08-2025,Paid
F4151,S1151,Sem 3,10-08-2025,22-08-2025,Paid
F4152,S1152,Sem 3,10-08-2025,08-08-2025,Paid
F4153,S1153,Sem 3,10-08-2025,05-08-2025,Paid
F4154,S1154,Sem 3,10-08-2025,07-08-2025,Paid
F4155,S1155,Sem 3,10-08-2025,05-08-2025,Paid
F4156,S1156,Sem 3,10-08-2025,06-08-2025,Paid
F4157,S1157,Sem 3,10-08-2025,07-08-2025,Paid
F4158,S1158,Sem 3,10-08-2025,07-08-2025,Paid
F4159,S1159,Sem 3,10-08-2025,06-08-2025,Paid
F4160,S1160,Sem 3,10-08-2025,16-08-2025,Paid
F4161,S1161,Sem 3,10-08-2025,05-08-2025,Paid
F4162,S1162,Sem 3,10-08-2025,09-08-2025,Paid
F4163,S1163,Sem 3,10-08-2025,,Pending
F4164,S1164,Sem 3,10-08-2025,,Pending
F4165,S1165,Sem 3,10-08-2025,07-08-2025,Paid
F4166,S1166,Sem 3,10-08-2025,06-08-2025,Paid
F4167,S1167,Sem 3,10-08-2025,05-08-2025,Paid
F4168,S1168,Sem 3,10-08-2025,08-08-2025,Paid
F4169,S1169,Sem 3,10-08-2025,,Pending
F4170,S1170,Sem 3,10-08-2025,07-08-2025,Paid
F4171,S1171,Sem 3,10-08-2025,,Pending
F4172,S1172,Sem 3,10-08-2025,,Pending
F4173,S1173,Sem 3,10-08-2025,23-08-2025,Paid
F4174,S1174,Sem 3,10-08-2025,07-08-2025,Paid
F4175,S1175,Sem 3,10-08-2025,,Pending
F4176,S1176,Sem 3,10-08-2025,,Pending
F4177,S1177,Sem 3,10-08-2025,08-08-2025,Paid
F4178,S1178,Sem 3,10-08-2025,06-08-2025,Paid
F4179,S1179,Sem 3,10-08-2025,,Pending
F4180,S1180,Sem 3,10-08-2025,07-08-2025,Paid
F4181,S1181,Sem 3,10-08-2025,24-08-2025,Paid
F4182,S1182,Sem 3,10-08-2025,,Pending
F4183,S1183,Sem 3,10-08-2025,09-08-2025,Paid
F4184,S1184,Sem 3,10-08-2025,08-08-2025,Paid
F4185,S1185,Sem 3,10-08-2025,,Pending
F4186,S1186,Sem 3,10-08-2025,21-08-2025,Paid
F4187,S1187,Sem 3,10-08-2025,07-08-2025,Paid
F4188,S1188,Sem 3,10-08-2025,23-08-2025,Paid
F4189,S1189,Sem 3,10-08-2025,06-08-2025,Paid
F4190,S1190,Sem 3,10-08-2025,,Pending
F4191,S1191,Sem 3,10-08-2025,05-08-2025,Paid
F4192,S1192,Sem 3,10-08-2025,08-08-2025,Paid
F4193,S1193,Sem 3,10-08-2025,07-08-2025,Paid
F4194,S1194,Sem 3,10-08-2025,,Pending
F4195,S1195,Sem 3,10-08-2025,09-08-2025,Paid
F4196,S1196,Sem 3,10-08-2025,07-08-2025,Paid
F4197,S1197,Sem 3,10-08-2025,06-08-2025,Paid
F4198,S1198,Sem 3,10-08-2025,05-08-2025,Paid
F4199,S1199,Sem 3,10-08-2025,06-08-2025,Paid
F4200,S1200,Sem 3,10-08-2025,08-08-2025,Paid
F4201,S1201,Sem 3,10-08-2025,,Pending
F4202,S1202,Sem 3,10-08-2025,,Pending
F4203,S1203,Sem 3,10-08-2025,21-08-2025,Paid
F4204,S1204,Sem 3,10-08-2025,,Pending
F4205,S1205,Sem 3,10-08-2025,09-08-2025,Paid
F4206,S1206,Sem 3,10-08-2025,07-08-2025,Paid
F4207,S1207,Sem 3,10-08-2025,05-08-2025,Paid
F4208,S1208,Sem 3,10-08-2025,05-08-2025,Paid
F4209,S1209,Sem 3,10-08-2025,08-08-2025,Paid
F4210,S1210,Sem 3,10-08-2025,09-08-2025,Paid
F4211,S1211,Sem 3,10-08-2025,06-08-2025,Paid
F4212,S1212,Sem 3,10-08-2025,07-08-2025,Paid
F4213,S1213,Sem 3,10-08-2025,,Pending
